tf_bnum	tf_symbol	gene_bnum	gene_symbol
b0464	acrR	b0015	dnaJ
b0464	acrR	b0025	ribF
b0464	acrR	b0029	ispH
b0464	acrR	b0051	rsmA
b0464	acrR	b0053	surA
b0464	acrR	b0080	cra
b0464	acrR	b0082	rsmH
b0464	acrR	b0085	murE
b0464	acrR	b0088	murD
b0464	acrR	b0093	ftsQ
b0464	acrR	b0094	ftsA
b0464	acrR	b0097	secM
b0464	acrR	b0098	secA
b0464	acrR	b0125	hpt
b0464	acrR	b0134	panB
b0464	acrR	b0149	mrcB
b0464	acrR	b0154	hemL
b0464	acrR	b0159	mtn
b0464	acrR	b0161	degP
b0464	acrR	b0167	glnD
b0464	acrR	b0168	map
b0464	acrR	b0174	uppS
b0464	acrR	b0176	rseP
b0464	acrR	b0184	dnaE
b0464	acrR	b0222	gmhA
b0464	acrR	b0224	ldtF
b0464	acrR	b0226	dinJ
b0464	acrR	b0242	proB
b0464	acrR	b0243	proA
b0464	acrR	b0369	hemB
b0464	acrR	b0391	ppnP
b0464	acrR	b0409	secF
b0464	acrR	b0414	ribD
b0464	acrR	b0416	nusB
b0464	acrR	b0420	dxs
b0464	acrR	b0421	ispA
b0464	acrR	b0422	xseB
b0464	acrR	b0434	yajG
b0464	acrR	b0437	clpP
b0464	acrR	b0441	ppiD
b0464	acrR	b0462	acrB
b0464	acrR	b0463	acrA
b0464	acrR	b0465	mscK
b0464	acrR	b0470	dnaX
b0464	acrR	b0470	dnaX
b0464	acrR	b0471	ybaB
b0464	acrR	b0472	recR
b0464	acrR	b0480	ushA
b0464	acrR	b0492	cnoX
b0464	acrR	b0506	allR
b0464	acrR	b0526	cysS
b0464	acrR	b0529	folD
b0464	acrR	b0578	nfsB
b0464	acrR	b0606	ahpF
b0464	acrR	b0631	ybeD
b0464	acrR	b0632	dacA
b0464	acrR	b0633	rlpA
b0464	acrR	b0641	lptE
b0464	acrR	b0658	ybeX
b0464	acrR	b0659	ybeY
b0464	acrR	b0660	ybeZ
b0464	acrR	b0661	miaB
b0464	acrR	b0674	asnB
b0464	acrR	b0675	umpH
b0464	acrR	b0676	nagC
b0464	acrR	b0684	fldA
b0464	acrR	b0687	seqA
b0464	acrR	b0688	pgm
b0464	acrR	b0710	ybgI
b0464	acrR	b0751	pnuC
b0464	acrR	b0779	uvrB
b0464	acrR	b0801	hcxB
b0464	acrR	b0809	glnQ
b0464	acrR	b0819	ldtB
b0464	acrR	b0820	ybiT
b0464	acrR	b0830	gsiB
b0464	acrR	b0890	ftsK
b0464	acrR	b0910	cmk
b0464	acrR	b0914	msbA
b0464	acrR	b0923	mukE
b0464	acrR	b0924	mukB
b0464	acrR	b0926	ycbK
b0464	acrR	b0927	gloC
b0464	acrR	b0955	ycbZ
b0464	acrR	b0962	helD
b0464	acrR	b0963	mgsA
b0464	acrR	b1034	ycdX
b0464	acrR	b1049	opgH
b0464	acrR	b1059	solA
b0464	acrR	b1064	grxB
b0464	acrR	b1085	yceQ
b0464	acrR	b1087	yceF
b0464	acrR	b1090	plsX
b0464	acrR	b1091	fabH
b0464	acrR	b1092	fabD
b0464	acrR	b1103	hinT
b0464	acrR	b1104	ycfL
b0464	acrR	b1105	lpoB
b0464	acrR	b1107	nagZ
b0464	acrR	b1108	ycfP
b0464	acrR	b1114	mfd
b0464	acrR	b1123	potD
b0464	acrR	b1128	roxA
b0464	acrR	b1129	phoQ
b0464	acrR	b1130	phoP
b0464	acrR	b1133	mnmA
b0464	acrR	b1174	minE
b0464	acrR	b1176	minC
b0464	acrR	b1203	ychF
b0464	acrR	b1208	ispE
b0464	acrR	b1214	ychA
b0464	acrR	b1215	kdsA
b0464	acrR	b1232	purU
b0464	acrR	b1236	galU
b0464	acrR	b1249	clsA
b0464	acrR	b1274	topA
b0464	acrR	b1323	tyrR
b0464	acrR	b1413	hrpA
b0464	acrR	b1424	opgD
b0464	acrR	b1538	dcp
b0464	acrR	b1583	ynfB
b0464	acrR	b1624	ydgJ
b0464	acrR	b1642	slyA
b0464	acrR	b1651	gloA
b0464	acrR	b1662	ribC
b0464	acrR	b1740	nadE
b0464	acrR	b1764	selD
b0464	acrR	b1809	yoaB
b0464	acrR	b1831	proQ
b0464	acrR	b1832	msrC
b0464	acrR	b1852	zwf
b0464	acrR	b1864	yebC
b0464	acrR	b1865	nudB
b0464	acrR	b1866	aspS
b0464	acrR	b1876	argS
b0464	acrR	b1913	uvrC
b0464	acrR	b1914	uvrY
b0464	acrR	b1928	yedD
b0464	acrR	b1982	amn
b0464	acrR	b2016	yeeZ
b0464	acrR	b2041	rfbB
b0464	acrR	b2064	asmA
b0464	acrR	b2065	dcd
b0464	acrR	b2133	dld
b0464	acrR	b2187	yejL
b0464	acrR	b2188	yejM
b0464	acrR	b2216	rcsD
b0464	acrR	b2217	rcsB
b0464	acrR	b2235	nrdB
