tf_bnum	tf_symbol	gene_bnum	gene_symbol	valid_tf	valid_gene
b1649	ydhM	b0624	flc	TRUE	FALSE
b1658	purR	b0624	flc	TRUE	FALSE
b1712	ihfA	b0624	flc	TRUE	FALSE
b1735	chbR	b0624	flc	TRUE	FALSE
b1827	kdgR	b0624	flc	TRUE	FALSE
b1891	flhC	b0624	flc	TRUE	FALSE
b1892	flhD	b0624	flc	TRUE	FALSE
b1914	uvrY	b0624	flc	TRUE	FALSE
b1916	sdiA	b0624	flc	TRUE	FALSE
b1921	fliZ	b0624	flc	TRUE	FALSE
b1951	rcsA	b0624	flc	TRUE	FALSE
b1969	yedW	b0624	flc	TRUE	FALSE
b1987	cbl	b0624	flc	TRUE	FALSE
b1988	nac	b0624	flc	TRUE	FALSE
b2079	baeR	b0624	flc	TRUE	FALSE
b2105	rcnR	b0624	flc	TRUE	FALSE
b2127	mlrA	b0624	flc	TRUE	FALSE
b2151	galS	b0624	flc	TRUE	FALSE
b2163	yeiL	b0624	flc	TRUE	FALSE
b2193	narP	b0624	flc	TRUE	FALSE
b2213	ada	b0624	flc	TRUE	FALSE
b2217	rcsB	b0624	flc	TRUE	FALSE
b2220	atoC	b0624	flc	TRUE	FALSE
b2289	lrhA	b0624	flc	TRUE	FALSE
b2364	dsdC	b0624	flc	TRUE	FALSE
b2369	evgA	b0624	flc	TRUE	FALSE
b2405	xapR	b0624	flc	TRUE	FALSE
b2427	yfeT	b0624	flc	TRUE	FALSE
b2491	hyfR	b0624	flc	TRUE	FALSE
b2531	iscR	b0624	flc	TRUE	FALSE
b2537	hcaR	b0624	flc	TRUE	FALSE
b2554	yfhA	b0624	flc	TRUE	FALSE
b2669	stpA	b0624	flc	TRUE	FALSE
b2684	mprA	b0624	flc	TRUE	FALSE
b2697	alaS	b0624	flc	TRUE	FALSE
b2706	gutM	b0624	flc	TRUE	FALSE
b2707	srlR	b0624	flc	TRUE	FALSE
b2709	norR	b0624	flc	TRUE	FALSE
b2714	ascG	b0624	flc	TRUE	FALSE
b2731	fhlA	b0624	flc	TRUE	FALSE
b2782	mazF	b0624	flc	TRUE	FALSE
b2783	mazE	b0624	flc	TRUE	FALSE
b2805	fucR	b0624	flc	TRUE	FALSE
b2808	gcvA	b0624	flc	TRUE	FALSE
b2837	galR	b0624	flc	TRUE	FALSE
b2839	lysR	b0624	flc	TRUE	FALSE
b2916	argP	b0624	flc	TRUE	FALSE
b2980	glcC	b0624	flc	TRUE	FALSE
b3010	yqhC	b0624	flc	TRUE	FALSE
b3021	ygiT	b0624	flc	TRUE	FALSE
b3025	qseB	b0624	flc	TRUE	FALSE
b3075	ebgR	b0624	flc	TRUE	FALSE
b3094	exuR	b0624	flc	TRUE	FALSE
b3105	yhaJ	b0624	flc	TRUE	FALSE
b3118	tdcA	b0624	flc	TRUE	FALSE
b3119	tdcR	b0624	flc	TRUE	FALSE
b3131	agaR	b0624	flc	TRUE	FALSE
b3226	nanR	b0624	flc	TRUE	FALSE
b3237	argR	b0624	flc	TRUE	FALSE
b3261	fis	b0624	flc	TRUE	FALSE
b3264	envR	b0624	flc	TRUE	FALSE
b3292	zntR	b0624	flc	TRUE	FALSE
b3357	crp	b0624	flc	TRUE	FALSE
b3405	ompR	b0624	flc	TRUE	FALSE
b3418	malT	b0624	flc	TRUE	FALSE
b3422	rtcR	b0624	flc	TRUE	FALSE
b3423	glpR	b0624	flc	TRUE	FALSE
b3438	gntR	b0624	flc	TRUE	FALSE
b3481	nikR	b0624	flc	TRUE	FALSE
b3501	arsR	b0624	flc	TRUE	FALSE
b3512	gadE	b0624	flc	TRUE	FALSE
b3515	gadW	b0624	flc	TRUE	FALSE
b3516	gadX	b0624	flc	TRUE	FALSE
b3556	cspA	b0624	flc	TRUE	FALSE
b3569	xylR	b0624	flc	TRUE	FALSE
b3574	yiaJ	b0624	flc	TRUE	FALSE
b3604	lldR	b0624	flc	TRUE	FALSE
b3669	uhpA	b0624	flc	TRUE	FALSE
b3702	dnaA	b0624	flc	TRUE	FALSE
b3743	asnC	b0624	flc	TRUE	FALSE
b3753	rbsR	b0624	flc	TRUE	FALSE
b3773	ilvY	b0624	flc	TRUE	FALSE
b3828	metR	b0624	flc	TRUE	FALSE
b3868	glnG	b0624	flc	TRUE	FALSE
b3905	rhaS	b0624	flc	TRUE	FALSE
b3906	rhaR	b0624	flc	TRUE	FALSE
b3912	cpxR	b0624	flc	TRUE	FALSE
b3934	cytR	b0624	flc	TRUE	FALSE
b3938	metJ	b0624	flc	TRUE	FALSE
b3961	oxyR	b0624	flc	TRUE	FALSE
b3963	fabR	b0624	flc	TRUE	FALSE
b3973	birA	b0624	flc	TRUE	FALSE
b4000	hupA	b0624	flc	TRUE	FALSE
b4004	zraR	b0624	flc	TRUE	FALSE
b4018	iclR	b0624	flc	TRUE	FALSE
b4043	lexA	b0624	flc	TRUE	FALSE
b4046	zur	b0624	flc	TRUE	FALSE
b4062	soxS	b0624	flc	TRUE	FALSE
b4063	soxR	b0624	flc	TRUE	FALSE
b4089	rpiR	b0624	flc	TRUE	FALSE
b4113	basR	b0624	flc	TRUE	FALSE
b4116	adiY	b0624	flc	TRUE	FALSE
b4118	melR	b0624	flc	TRUE	FALSE
b4124	dcuR	b0624	flc	TRUE	FALSE
b4133	cadC	b0624	flc	TRUE	FALSE
b4178	nsrR	b0624	flc	TRUE	FALSE
b4187	aidB	b0624	flc	TRUE	FALSE
b4191	ulaR	b0624	flc	TRUE	FALSE
b4241	treR	b0624	flc	TRUE	FALSE
b4260	pepA	b0624	flc	TRUE	FALSE
b4264	idnR	b0624	flc	TRUE	FALSE
b4324	uxuR	b0624	flc	TRUE	FALSE
b4327	yjiE	b0624	flc	TRUE	FALSE
b4365	yjjQ	b0624	flc	TRUE	FALSE
b4366	bglJ	b0624	flc	TRUE	FALSE
b4390	nadR	b0624	flc	TRUE	FALSE
b4393	trpR	b0624	flc	TRUE	FALSE
b4396	rob	b0624	flc	TRUE	FALSE
b4398	creB	b0624	flc	TRUE	FALSE
b4401	arcA	b0624	flc	TRUE	FALSE
b4480	hdfR	b0624	flc	TRUE	FALSE
b0020	nhaR	b0703	rhsO	TRUE	FALSE
b0034	caiF	b0703	rhsO	TRUE	FALSE
b0064	araC	b0703	rhsO	TRUE	FALSE
b0069	sgrR	b0703	rhsO	TRUE	FALSE
b0076	leuO	b0703	rhsO	TRUE	FALSE
b0080	fruR	b0703	rhsO	TRUE	FALSE
b0113	pdhR	b0703	rhsO	TRUE	FALSE
b0162	cdaR	b0703	rhsO	TRUE	FALSE
b0225	yafQ	b0703	rhsO	TRUE	FALSE
b0226	dinJ	b0703	rhsO	TRUE	FALSE
b0294	matA	b0703	rhsO	TRUE	FALSE
b0305	ykgD	b0703	rhsO	TRUE	FALSE
b0313	betI	b0703	rhsO	TRUE	FALSE
b0330	prpR	b0703	rhsO	TRUE	FALSE
b0338	cynR	b0703	rhsO	TRUE	FALSE
b0345	lacI	b0703	rhsO	TRUE	FALSE
b0346	mhpR	b0703	rhsO	TRUE	FALSE
b0399	phoB	b0703	rhsO	TRUE	FALSE
b0413	nrdR	b0703	rhsO	TRUE	FALSE
b0435	bolA	b0703	rhsO	TRUE	FALSE
b0440	hupB	b0703	rhsO	TRUE	FALSE
b0464	acrR	b0703	rhsO	TRUE	FALSE
b0487	cueR	b0703	rhsO	TRUE	FALSE
b0506	allR	b0703	rhsO	TRUE	FALSE
b0564	appY	b0703	rhsO	TRUE	FALSE
b0566	envY	b0703	rhsO	TRUE	FALSE
b0571	cusR	b0703	rhsO	TRUE	FALSE
b0620	citB	b0703	rhsO	TRUE	FALSE
b0676	nagC	b0703	rhsO	TRUE	FALSE
b0683	fur	b0703	rhsO	TRUE	FALSE
b0694	kdpE	b0703	rhsO	TRUE	FALSE
b0730	mngR	b0703	rhsO	TRUE	FALSE
b0761	modE	b0703	rhsO	TRUE	FALSE
b0817	mntR	b0703	rhsO	TRUE	FALSE
b0840	deoR	b0703	rhsO	TRUE	FALSE
b0846	ybjK	b0703	rhsO	TRUE	FALSE
b0889	lrp	b0703	rhsO	TRUE	FALSE
b0912	ihfB	b0703	rhsO	TRUE	FALSE
b0995	torR	b0703	rhsO	TRUE	FALSE
b1013	rutR	b0703	rhsO	TRUE	FALSE
b1014	putA	b0703	rhsO	TRUE	FALSE
b1040	csgD	b0703	rhsO	TRUE	FALSE
b1130	phoP	b0703	rhsO	TRUE	FALSE
b1162	ycgE	b0703	rhsO	TRUE	FALSE
b1187	fadR	b0703	rhsO	TRUE	FALSE
b1201	dhaR	b0703	rhsO	TRUE	FALSE
b1221	narL	b0703	rhsO	TRUE	FALSE
b1237	hns	b0703	rhsO	TRUE	FALSE
b1275	cysB	b0703	rhsO	TRUE	FALSE
b1299	puuR	b0703	rhsO	TRUE	FALSE
b1303	pspF	b0703	rhsO	TRUE	FALSE
b1323	tyrR	b0703	rhsO	TRUE	FALSE
b1328	ycjZ	b0703	rhsO	TRUE	FALSE
b1334	fnr	b0703	rhsO	TRUE	FALSE
b1384	feaR	b0703	rhsO	TRUE	FALSE
b1399	paaX	b0703	rhsO	TRUE	FALSE
b1434	ydcN	b0703	rhsO	TRUE	FALSE
b1450	yncC	b0703	rhsO	TRUE	FALSE
b1499	ydeO	b0703	rhsO	TRUE	FALSE
b1507	hipA	b0703	rhsO	TRUE	FALSE
b1508	hipB	b0703	rhsO	TRUE	FALSE
b1512	lsrR	b0703	rhsO	TRUE	FALSE
b1530	marR	b0703	rhsO	TRUE	FALSE
b1531	marA	b0703	rhsO	TRUE	FALSE
b1563	relE	b0703	rhsO	TRUE	FALSE
b1564	relB	b0703	rhsO	TRUE	FALSE
b1594	dgsA	b0703	rhsO	TRUE	FALSE
b1608	rstA	b0703	rhsO	TRUE	FALSE
b1618	uidR	b0703	rhsO	TRUE	FALSE
b1620	malI	b0703	rhsO	TRUE	FALSE
b1642	slyA	b0703	rhsO	TRUE	FALSE
b1649	ydhM	b0703	rhsO	TRUE	FALSE
b1658	purR	b0703	rhsO	TRUE	FALSE
b1712	ihfA	b0703	rhsO	TRUE	FALSE
b1735	chbR	b0703	rhsO	TRUE	FALSE
b1827	kdgR	b0703	rhsO	TRUE	FALSE
b1891	flhC	b0703	rhsO	TRUE	FALSE
b1892	flhD	b0703	rhsO	TRUE	FALSE
b1914	uvrY	b0703	rhsO	TRUE	FALSE
b1916	sdiA	b0703	rhsO	TRUE	FALSE
b1921	fliZ	b0703	rhsO	TRUE	FALSE
b1951	rcsA	b0703	rhsO	TRUE	FALSE
b1969	yedW	b0703	rhsO	TRUE	FALSE
b1987	cbl	b0703	rhsO	TRUE	FALSE
b1988	nac	b0703	rhsO	TRUE	FALSE
b2079	baeR	b0703	rhsO	TRUE	FALSE
b2105	rcnR	b0703	rhsO	TRUE	FALSE
b2127	mlrA	b0703	rhsO	TRUE	FALSE
